AK|Allan Kardec|
APMRAM|América Paoliello Marques|Ramatis
CX|Chico Xavier|
CXALZ|Chico Xavier|André Luiz
CXBM|Chico Xavier|Bezerra de Menezes
CXCS|Chico Xavier|Cairbar Schutel
CXCP|Chico Xavier|Cornélio Pires
CXEMN|Chico Xavier|Emmanuel
CXHC|Chico Xavier|Humberto de Campos
CXIX|Chico Xavier|Irmão X
CXBCG|Chico Xavier|Manuel Maria Barbosa Du Bocage
CXMEIMEI|Chico Xavier|Meimei
CXNL|Chico Xavier|Neio Lúcio
CXCHEILA|Chico Xavier|Scheilla
DCRRAM|Dalton Campos Roque|Ramatis
DPFBM|Divaldo Pereira Franco|Bezerra de Menezes
DPFJA|Divaldo Pereira Franco|Joanna de Ângelis
DPFMPM|Divaldo Pereira Franco|Manoel Philomeno de Miranda
FAPBM|Francisco de Assis Periotto|Bezerra de Menezes
GPABM|Gilberto Pontes de Andrade|Bezerra de Menezes
HMRAM|Hercílio Maes|Ramatis
JNM|João Nunes Maia|Miramez
JNMCHEILA|João Nunes Maia|Scheilla
MPBM|Marcelo Passos|Bezerra de Menezes
MCPBM|Maria Cecília Paiva|Bezerra de Menezes
MMLRAM|Maria Margarida Liguori|Ramatis
NPRAM|Norberto Peixoto|Ramatis
WBRAM|Wagner Borges|Ramatis
WVBM|Waldo Vieira|Bezerra de Menezes
YAPBM|Yvonne do Amaral Pereira|Bezerra de Menezes
